person,task,completed
Suki,Introduction to Machine Learning ,
Suki,Learning Paradigms ,
Suki,Version Spaces - PAC learning ,
Suki,Role of Machine Learning in Artificial Intelligence applications. ,
Suki,Linear and Non Linear examples ,
Suki,Multi Class  Multi Label classification ,
Suki,Linear Regression ,
Suki,Multiple Linear Regression ,
Suki,Naive Bayes Classifier ,
Suki,Decision Trees ID3,CART ,
Suki,Error bounds. ,
Suki,KNN classifier ,
Suki,Logistic regression ,
Suki,Perceptron ,
Suki,Single layer perceptron ,
Suki,Multi layer perceptron ,
Suki,Support Vector Machines - Linear ,
Suki,Non linear SVM ,
Suki,Metrics Error Correction. ,
Suki,Clustering basics - (Partitioned, Hierarchical and Density based) ,
Suki,K Means clustering ,
Suki,K Mode clustering ,
Suki,Self organizing maps ,
Suki,Expectation maximization ,
Suki,Principal Component Analysis ,
Suki,Kernel PCA ,
Suki,tSNE t distributed stochastic neighbor embedding ,
Suki,Metrics - Error Correction. ,
Suki,Bias Variance Tradeoff ,
Suki,Bagging and boosting - Random forests ,
Suki,Adaboost ,
Suki,XG boost - inclusive ,
Suki,Metrics - Error Correction ,
Suki,Class Imbalance ,
Suki,SMOTE ,
Suki,One Class SVM - Optimization of hyper parameters ,
Suki,Basics of RL ,
Suki,RL Framework ,
Suki,Markov Decision Process ,
Suki,Exploration Vs Exploitation ,
Suki,Polices ,
Suki,Value Functions and Bellman Equations ,
Suki,Solution Methods ,
Suki,Q - Learning. ,
Suki,Contemporary Issues ,
Suj,Introduction to Machine Learning ,
Suj,Learning Paradigms ,
Suj,Version Spaces - PAC learning ,
Suj,Role of Machine Learning in Artificial Intelligence applications. ,
Suj,Linear and Non Linear examples ,
Suj,Multi Class  Multi Label classification ,
Suj,Linear Regression ,
Suj,Multiple Linear Regression ,
Suj,Naive Bayes Classifier ,
Suj,Decision Trees ID3,CART ,
Suj,Error bounds. ,
Suj,KNN classifier ,
Suj,Logistic regression ,
Suj,Perceptron ,
Suj,Single layer perceptron ,
Suj,Multi layer perceptron ,
Suj,Support Vector Machines - Linear ,
Suj,Non linear SVM ,
Suj,Metrics Error Correction. ,
Suj,Clustering basics - (Partitioned, Hierarchical and Density based) ,
Suj,K Means clustering ,
Suj,K Mode clustering ,
Suj,Self organizing maps ,
Suj,Expectation maximization ,
Suj,Principal Component Analysis ,
Suj,Kernel PCA ,
Suj,tSNE t distributed stochastic neighbor embedding ,
Suj,Metrics - Error Correction. ,
Suj,Bias Variance Tradeoff ,
Suj,Bagging and boosting - Random forests ,
Suj,Adaboost ,
Suj,XG boost - inclusive ,
Suj,Metrics - Error Correction ,
Suj,Class Imbalance ,
Suj,SMOTE ,
Suj,One Class SVM - Optimization of hyper parameters ,
Suj,Basics of RL ,
Suj,RL Framework ,
Suj,Markov Decision Process ,
Suj,Exploration Vs Exploitation ,
Suj,Polices ,
Suj,Value Functions and Bellman Equations ,
Suj,Solution Methods ,
Suj,Q - Learning. ,
Suj,Contemporary Issues ,
